Dimension;Seed_word_adjusted;Seed_word_final;Source
Cost;absoption costing;absoption_costing;IMA MACF
Cost;direct costing;direct_costing;IMA MACF, IMA EMAC
Cost;indirect cost;indirect_cost;IMA MACF, IMA EMAC
Cost;indirect costing;indirect_costing;IMA MACF, IMA EMAC
Cost;cost accounting approach;cost_accounting_approach;IMA MACF, IMA EMAC
Cost;cost accounting practice;cost_accounting_practice;IMA MACF, IMA EMAC
Cost;cost accounting method;cost_accounting_method;IMA MACF, IMA EMAC
Cost;joint product costs;joint_product_costs;IMA MACF
Cost;joint product cost;joint_product_cost;IMA MACF
Cost;by product costs;by_product_costs;IMA MACF
Cost;environmental cost;environmental_cost;IMA MACF
Cost;sustainability costs;sustainability_costs;IMA MACF
Cost;sustainability cost;sustainability_cost;IMA MACF
Cost;relevant costs;relevant_costs;IMA EMAC
Cost;relevant cost;relevant_cost;IMA EMAC
Cost;cost function;cost_function;IMA EMAC
Cost;mixed costs;mixed_costs;IMA EMAC, IFAC IGPG
Cost;mixed cost;mixed_cost;IMA EMAC, IFAC IGPG
Cost;semivariable costs;semivariable_costs;IMA EMAC, IFAC IGPG
Cost;semivariable cost;semivariable_cost;IMA EMAC, IFAC IGPG
Cost;step costs;step_costs;IMA EMAC
Cost;step cost;step_cost;IMA EMAC
Cost;conversion cost;conversion_cost;IMA EMAC
Cost;overhead cost;overhead_cost;IMA EMAC
Cost;cost pool;cost_pool;IMA EMAC
Cost;linear cost function;linear_cost_function;IMA EMAC
Cost;specific cost;specific_cost;IMA EMAC
Cost;allocation of cost;allocation_of_cost;IMA EMAC
Cost;allocation base;allocation_base;IMA EMAC
Cost;step down method;step_down_method;IMA EMAC
Cost;reciprocal method;reciprocal_method;IMA EMAC
Cost;sunk costs;sunk_costs;IMA EMAC, IFAC IGPG
Cost;sunk cost;sunk_cost;IMA EMAC, IFAC IGPG
Cost;discretionary cost;discretionary_cost;IMA EMAC
Cost;economies of scales;economies_of_scales;IMA EMAC, IMA SMA RMF (Strategy?)
Cost;attribute costing;attribute_costing;Cadez & Guilding (2008)
Cost;quality costing;quality_costing;Cadez & Guilding (2008), Chenhall & Moers (2015)
Cost;value chain costing;value_chain_costing;Cadez & Guilding (2008)
Cost;strategic costing;strategic_costing;Cadez & Guilding (2008), Chenhall & Moers (2015)
Cost;prevention costs;prevention_costs;Cadez & Guilding (2008)
Cost;prevention cost;prevention_cost;Cadez & Guilding (2008)
Cost;appraisal costs;appraisal_costs;Cadez & Guilding (2008)
Cost;appraisal cost;appraisal_cost;Cadez & Guilding (2008)
Cost;internal failure costs;internal_failure_costs;Cadez & Guilding (2008)
Cost;internal failure cost;internal_failure_cost;Cadez & Guilding (2008)
Cost;external failure costs;external_failure_costs;Cadez & Guilding (2008)
Cost;external failure cost;external_failure_cost;Cadez & Guilding (2008)
Cost;engineering cost ;engineering_cost;Cadez & Guilding (2008)
Cost;marketing cost;marketing_cost;Cadez & Guilding (2008)
Cost;expenditure budget;expenditure_budget;Chenhall & Moers (2015)
Cost;modeling cost behavior;modeling_cost_behavior;Chenhall & Moers (2015)
Cost;cost policies;cost_policies;Chenhall & Moers (2015)
Cost;overhead rate;overhead_rate;Abdel-Kader & Luther (2008)
Cost;improved costing;improved_costing;Bromwich & Scapens (2016)
Cost;cost of quality;cost_of_quality;IMA MACF, Cadez & Guilding (2008)
Cost;responsibility accounting;responsibility_accounting;IMA EMAC
Cost;resource capacity;resource_capacity;IMA EMAC
Cost;should costing;should_costing;IMA EMAC
Cost;process costing;process_costing;IMA EMAC
Cost;time driven abc;time_driven_abc;IMA EMAC
Cost;event driven abc;event_driven_abc;IMA EMAC
Cost;job costing;job_costing;IMA EMAC
Cost;customer cost to serve;customer_cost_to_serve;IMA EMAC
Cost;activity cost;activity_cost;Kaplan & Cooper (1998)
Cost;efficiency measure;efficiency_measure;Maskell et al. (2011)
Cost;value stream;value_stream;Maskell et al. (2011)
Cost;contimous improvement;contimous_improvement;Maskell et al. (2011)
Cost;costing;costing;Qiu et al. (2023)
Cost;cost plan;cost_plan;GMAP
Cost;cost targets;cost_targets;GMAP
Cost;costing method;costing_method;GMAP, CGMA CF
Cost;cost reduction;cost_reduction;GMAP, IMA MACF
Cost;product costs;product_costs;IMA EMAC
Cost;product cost;product_cost;IMA EMAC
Cost;period costs;period_costs;IMA EMAC
Cost;period cost;period_cost;IMA EMAC
Financing / Investment;roi;roi;GMAP, IMA EMAC, Nixon & Burns (2012), Malmi & Brown (2008)
Financing / Investment;cost benefit analysis;cost_benefit_analysis;GMAP, IFAC IGPG
Financing / Investment;financial planning;financial_planning;CGMA PQS
Financing / Investment;capital budget;capital_budget;CGMA PQS, IMA EMAC, IFAC IGPG
Financing / Investment;cash flow analysis;cash_flow_analysis;CGMA CF
Financing / Investment;value analysis;value_analysis;CGMA PQS
Financing / Investment;capital allocation;capital_allocation;GMAP, COSO ERM
Financing / Investment;roce;roce;IMA MACF
Financing / Investment;return on capital employed;return_on_capital_employed;IMA MACF
Financing / Investment;irr;irr;GMAP, IMA MACF, IMA EMAC, IFAC IGPG
Financing / Investment;internal rate of return;internal_rate_of_return;GMAP, IMA MACF, IMA EMAC, IFAC IGPG
Financing / Investment;return of investment;return_of_investment;GMAP, IMA EMAC, Nixon & Burns (2012), Malmi & Brown (2008)
Financing / Investment;capex;capex;CGMA PQS
Financing / Investment;capital budgeting;capital_budgeting;
Financing / Investment;financing management;financing_management;Qiu et al. (2023)
Financing / Investment;constrained resources optimisation;constrained_resources_optimisation;Qiu et al. (2023)
Financing / Investment;investment appraisal;investment_appraisal;GMAP, IFAC IGPG
Financing / Investment;investment appraisal calculations;investment_appraisal_calculations;GMAP, IFAC IGPG
Financing / Investment;capital rationing;capital_rationing;GMAP
Financing / Investment;payback period;payback_period;GMAP, IMA MACF, IMA EMAC, Abdel-Kader & Luther (2008), IFAC IGPG
Financing / Investment;weigthed average cost of capital;weigthed_average_cost_of_capital;GMAP, IFAC IGPG
Financing / Investment;cash flow cycle;cash_flow_cycle;CGMA PQS
Financing / Investment;payables management;payables_management;CGMA PQS
Financing / Investment;investment decision making process;investment_decision_making_process;CGMA PQS
Financing / Investment;capital budgeting;capital_budgeting;CGMA PQS, IMA EMAC, IFAC IGPG
Financing / Investment;capital investment evaluation;capital_investment_evaluation;CGMA PQS, Abdel-Kader & Luther (2008)
Financing / Investment;accounting rate of return;accounting_rate_of_return;CGMA PQS
Financing / Investment;computing annuities;computing_annuities;CGMA PQS
Financing / Investment;dividend valuation model;dividend_valuation_model;CGMA PQS
Financing / Investment;equity valuation;equity_valuation;CGMA PQS
Financing / Investment;funding techniques;funding_techniques;CGMA CF
Financing / Investment;funding technique;funding_technique;CGMA CF
Financing / Investment;shareholder model;shareholder_model;CGMA CF
Financing / Investment;real options;real_options;IMA MACF (Risk or Operations?), IFAC IGPG (Investment), COSO ERM (Risk)
Financing / Investment;real options analysis;real_options_analysis;IMA MACF (Risk or Operations?), IFAC IGPG (Investment), COSO ERM (Risk)
Financing / Investment;working capital policies;working_capital_policies;IMA MACF
Financing / Investment;opportunity cost of capital;opportunity_cost_of_capital;IMA MACF, Abdel-Kader & Luther (2008)
Financing / Investment;hurdle rate;hurdle_rate;IMA MACF, IFAC IGPG
Financing / Investment;residual income;residual_income;IMA EMAC, Abdel-Kader & Luther (2008)
Financing / Investment;analysis of joint ventures;analysis_of_joint_ventures;Chenhall & Moers (2015)
Financing / Investment;shareholder value analysis;shareholder_value_analysis;Cadez & Guilding (2008)
Financing / Investment;forecasted cash flow;forecasted_cash_flow;IFAC IGPG
Financing / Investment;determining alternatives;determining_alternatives;IFAC IGPG
Financing / Investment;determining alternative;determining_alternative;IFAC IGPG
Financing / Investment;best case scenario;best_case_scenario;IFAC IGPG
Financing / Investment;investment management;investment_management;Qiu et al. (2023)
Financing / Investment;discounted cash flow;discounted_cash_flow;Qiu et al. (2023), CGMA CF, Abdel-Kader & Luther (2008), Bromwich & Scapens (2016), IFAC IGPG
Financing / Investment;discounted cash flow model;discounted_cash_flow_model;CGMA CF, Abdel-Kader & Luther (2008), Bromwich & Scapens (2016), IFAC IGPG
Financing / Investment;discounted cash flow analysis;discounted_cash_flow_analysis;CGMA CF, Abdel-Kader & Luther (2008), Bromwich & Scapens (2016), IFAC IGPG
Financing / Investment;net present value;net_present_value;GMAP, IMA MACF, IMA EMAC, IFAC IGPG
Financing / Investment;npv;npv;GMAP, IMA MACF, IMA EMAC, IFAC IGPG
Financing / Investment;average cost of capital;average_cost_of_capital;GMAP, IFAC IGPG
Financing / Investment;wacc;wacc;GMAP, IFAC IGPG
Financing / Investment;future cash flows;future_cash_flows;GMAP
Financing / Investment;credit management;credit_management;GMAP
Financing / Investment;receivables management;receivables_management;CGMA PQS
Financing / Investment;investment decision making;investment_decision_making;CGMA PQS
Financing / Investment;capital investment;capital_investment;CGMA PQS, Abdel-Kader & Luther (2008)
Financing / Investment;cost of equity;cost_of_equity;CGMA PQS, IFAC IGPG
Financing / Investment;cost of debt;cost_of_debt;CGMA PQS, IFAC IGPG
Financing / Investment;cost of capital;cost_of_capital;IMA MACF, Abdel-Kader & Luther (2008)
Financing / Investment;time value of money;time_value_of_money;IMA EMAC, IFAC IGPG
Financing / Investment;ri;ri;IMA EMAC, Abdel-Kader & Luther (2008)
Financing / Investment;discounting cash flows;discounting_cash_flows;Abdel-Kader & Luther (2008)
Financing / Investment;discount rate;discount_rate;IFAC IGPG
Financing / Investment;opportunity cost;opportunity_cost;IFAC IGPG, IMA EMAC
Operations;operations management;operations_management;Qiu et al. (2023), Nixon & Burns (2012)
Operations;supply chain management;supply_chain_management;CGMA PQS, Nixon & Burns (2012)
Operations;inventory management;inventory_management;CGMA PQS
Operations;continuous improvement;continuous_improvement;IMA MACF
Operations;operational decision making;operational_decision_making;IMA EMAC, Malmi & Brown (2008), IMA SMA RMF
Operations;process improvements;process_improvements;CGMA CF
Operations;process improvement;process_improvement;CGMA CF
Operations;operational management;operational_management;Nixon & Burns (2012)
Operations;logistics management;logistics_management;IMA EMAC
Operations;capacity utilization;capacity_utilization;IMA MACF, IMA EMAC, IMA SMA RMF
Operations;bottlenecks;bottlenecks;GMAP
Operations;operating cycle;operating_cycle;CGMA PQS
Operations;quality management;quality_management;CGMA PQS, IMA MACF
Operations;quality improvement;quality_improvement;IMA MACF
Operations;quality programs;quality_programs;IMA MACF, IMA SMA RMF
Operations;operational planning;operational_planning;IMA EMAC, Malmi & Brown (2008), IMA SMA RMF
Operations;quality control;quality_control;Malmi & Brown (2008)
Operations;contingency plan;contingency_plan;IMA EMAC, IMA SRM (Risk)
Operations;valuation added;valuation_added;Qiu et al. (2023)
Operations;cost volume profit analysis;cost_volume_profit_analysis;Qiu et al. (2023), IMA MACF, IMA EMAC, Abdel-Kader & Luther (2008)
Operations;marginal analysis;marginal_analysis;Qiu et al. (2023)
Operations;cvp analysis;cvp_analysis;IMA MACF, IMA EMAC, Abdel-Kader & Luther (2008)
Operations;breakeven analysis;breakeven_analysis;GMAP (Risk?), IMA MACF
Operations;multiproduct breakeven analysis;multiproduct_breakeven_analysis;GMAP (Risk?), IMA MACF
Operations;value delivery;value_delivery;GMAP, IMA MAFC, IMA EMAC
Operations;value generating decision;value_generating_decision;GMAP
Operations;transfer pricing rule;transfer_pricing_rule;GMAP, IMA MAFC, IMA EMAC, Chenhall & Moers (2015), Bromwich & Scapens (2016)
Operations;transfer pricing guidelines;transfer_pricing_guidelines;GMAP, IMA MAFC, IMA EMAC, Chenhall & Moers (2015), Bromwich & Scapens (2016)
Operations;transfer pricing guideline;transfer_pricing_guideline;GMAP, IMA MAFC, IMA EMAC, Chenhall & Moers (2015), Bromwich & Scapens (2016)
Operations;pricing management;pricing_management;GMAP
Operations;pricing tools;pricing_tools;GMAP
Operations;bottleneck;bottleneck;
Operations;bottlenecks identification;bottlenecks_identification;GMAP
Operations;bottleneck identification;bottleneck_identification;
Operations;bottlenecks analysis;bottlenecks_analysis;GMAP
Operations;bottleneck analysis;bottleneck_analysis;
Operations;project management tool;project_management_tool;GMAP, IMA MACF
Operations;gantt chart;gantt_chart;CGMA PQS, IMA MACF, IMA SMA RMF
Operations;work breakdown schedule;work_breakdown_schedule;CGMA PQS, IMA MACF, IMA SMA RMF
Operations;network analysis;network_analysis;CGMA PQS, IMA MACF, IMA SMA RMF
Operations;marginal pricing;marginal_pricing;CGMA PQS
Operations;full cost pricing;full_cost_pricing;CGMA PQS
Operations;just in time management;just_in_time_management;CGMA PQS, IMA EMAC, Malmi & Brown (2008)
Operations;kaizen;kaizen;CGMA PQS, IMA MACF, IMA EMAC
Operations;process re engineering;process_re_engineering;CGMA PQS
Operations;activity based management;activity_based_management;CGMA PQS, IMA EMAC, Chenhall & Moers (2015), Malmi & Brown (2008), IMA SMA RMF
Operations;analytical technique;analytical_technique;IMA MACF
Operations;decision support tool;decision_support_tool;IMA MACF
Operations;evaluate nonroutine projects;evaluate_nonroutine_projects;IMA MACF
Operations;evaluate nonroutine project;evaluate_nonroutine_project;IMA MACF
Operations;evaluate supply chain;evaluate_supply_chain;IMA MACF
Operations;process mapping;process_mapping;IMA MACF
Operations;fishbone diagram;fishbone_diagram;IMA MACF
Operations;quality improvement projects;quality_improvement_projects;IMA MACF
Operations;quality improvement project;quality_improvement_project;
Operations;quality management tools;quality_management_tools;IMA MACF
Operations;quality management tool;quality_management_tool;IMA MACF
Operations;six sigma;six_sigma;IMA MACF, IMA SMA RMF
Operations;quality program;quality_program;IMA MACF, IMA SMA RMF
Operations;value stream mapping;value_stream_mapping;IMA MACF, IMA EMAC
Operations;tqm;tqm;IMA MACF, Malmi & Brown (2008), IMA SMA RMF
Operations;total quality management;total_quality_management;IMA MACF, Malmi & Brown (2008), IMA SMA RMF
Operations;critical paths;critical_paths;IMA MACF
Operations;capacity management;capacity_management;IMA MACF, IMA EMAC, IMA SMA RMF
Operations;lean management;lean_management;IMA EMAC, IMA SMA RMF
Operations;lean techniques;lean_techniques;IMA EMAC, IMA SMA RMF
Operations;lean technique;lean_technique;IMA EMAC, IMA SMA RMF
Operations;cross fuctional improvement;cross_fuctional_improvement;IMA EMAC
Operations;revenue management practices;revenue_management_practices;IMA EMAC, IMA SMA RMF
Operations;revenue management practice;revenue_management_practice;IMA EMAC, IMA SMA RMF
Operations;revenue management tool;revenue_management_tool;IMA EMAC, IMA SMA RMF
Operations;profitability management;profitability_management;IMA EMAC
Operations;profitability analysis;profitability_analysis;IMA EMAC
Operations;revenue generating model;revenue_generating_model;IMA EMAC
Operations;inventory allocation;inventory_allocation;IMA EMAC, IMA SMA RMF
Operations;ad hoc inventory allocation;ad_hoc_inventory_allocation;IMA EMAC, IMA SMA RMF
Operations;systematic inventory allocation;systematic_inventory_allocation;IMA EMAC, IMA SMA RMF
Operations;revenue levers;revenue_levers;IMA EMAC, IMA SMA RMF
Operations;revenue lever;revenue_lever;IMA EMAC, IMA SMA RMF
Operations;revenue variance analysis;revenue_variance_analysis;IMA EMAC
Operations;accounts receivable turnover;accounts_receivable_turnover;IMA EMAC
Operations;customer profitability analysis;customer_profitability_analysis;IMA EMAC, Cadez & Guilding (2008), Abdel-Kader & Luther (2008)
Operations;customer account profitability;customer_account_profitability;IMA EMAC, Cadez & Guilding (2008), Abdel-Kader & Luther (2008)
Operations;customer account profitability analysis;customer_account_profitability_analysis;IMA EMAC, Cadez & Guilding (2008), Abdel-Kader & Luther (2008)
Operations;revenue driver;revenue_driver;IMA EMAC, IMA SMA RMF
Operations;revenue driver analysis;revenue_driver_analysis;IMA EMAC, IMA SMA RMF
Operations;key revenue driver;key_revenue_driver;IMA EMAC, IMA SMA RMF
Operations;key revenue driver analysis;key_revenue_driver_analysis;IMA EMAC, IMA SMA RMF
Operations;time series analysis;time_series_analysis;IMA EMAC
Operations;breakeven point;breakeven_point;IMA EMAC
Operations;causal analysis;causal_analysis;IMA EMAC
